study,trial,seed,unknown_byte_count,unknown_bytes,unknown_bits,plaintext,key,ciphertext,status,satisfiable,correct,candidate_valid,recovered_key,build_time,solve_time,total_time,timeout_seconds,variables,clauses,error
pilot,1,2026092201,1,7,8,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.452027750000525,5.667070165999576,6.120856915999866,120,20736,343416,
pilot,1,2026092201,2,11;13,16,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,SAT,True,True,True,0A9F3C3E6F3CC51142E4162D4F217DD9,0.45756141600031697,26.78303566700015,27.242388000000574,120,20736,343408,
pilot,1,2026092201,3,6;10;14,24,54BA8825B09C8F61616A521C21320479,0A9F3C3E6F3CC51142E4162D4F217DD9,A59AA1012615A11C7600F5099465D3B9,TIMEOUT,False,False,False,,,,120,120,,,Exceeded timeout of 120 seconds
pilot,2,2026092202,1,1,8,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.4441687090002233,4.60372174999975,5.049601125000663,120,20736,343416,
pilot,2,2026092202,2,8;13,16,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,SAT,True,True,True,B7608EC5A5C23596F8EA64EAB55CEE7B,0.4441307090000919,35.138070957999844,35.583973415999935,120,20736,343408,
pilot,2,2026092202,3,5;12;15,24,B899811E605E419BAE301C265D754207,B7608EC5A5C23596F8EA64EAB55CEE7B,60446E0182BDCA35C94A64AF5A36300C,TIMEOUT,False,False,False,,,,120,120,,,Exceeded timeout of 120 seconds
pilot,3,2026092203,1,7,8,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.4469199169998319,4.833610333999786,5.282245957999294,120,20736,343416,
pilot,3,2026092203,2,2;15,16,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,SAT,True,True,True,7C6FB8C03288380794B939E4064293F4,0.44884312499925727,16.151675457999772,16.602243291999912,120,20736,343408,
pilot,3,2026092203,3,4;9;12,24,3038FE80E479B85E8FF9943498EFA8A9,7C6FB8C03288380794B939E4064293F4,C462599C6439D2256C8BF9524973EB28,TIMEOUT,False,False,False,,,,120,120,,,Exceeded timeout of 120 seconds
pilot,4,2026092204,1,5,8,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.44427004200042575,5.98508079199928,6.431163291999837,120,20736,343416,
pilot,4,2026092204,2,0;13,16,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,SAT,True,True,True,F446D1F6301267C051B6B2EBE614656E,0.4501554580001539,31.794009582999934,32.245892957999786,120,20736,343408,
pilot,4,2026092204,3,4;10;11,24,6CB8F32A29EB4BA55D8FCE21411E4F05,F446D1F6301267C051B6B2EBE614656E,32D28FD4EF8DEAA754F7EBC78DAFCCB9,TIMEOUT,False,False,False,,,,120,120,,,Exceeded timeout of 120 seconds
pilot,5,2026092205,1,1,8,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.4523794579999958,5.52538208399983,5.9794915830007085,120,20736,343416,
pilot,5,2026092205,2,7;12,16,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,SAT,True,True,True,27DC64965E2FF5723B463E9974CF1B24,0.5347931670003163,73.76037754200024,74.29719145800027,120,20736,343408,
pilot,5,2026092205,3,1;6;15,24,0ACF2B1DF582EA98A288A2C05B27DB70,27DC64965E2FF5723B463E9974CF1B24,9F277BA342E5A31F7B5AC43482DCB95D,TIMEOUT,False,False,False,,,,120,120,,,Exceeded timeout of 120 seconds
