row_type,experiment,kat,position_mode,trial,seed,unknown_bits,known_bits,split_bits,split_positions,max_workers,branch_id,assignment,status,satisfiable,correct,recovered_key,solve_time,experiment_wall_time,baseline_solve_time,variables,clauses
branch,count1089_random1_20_split2,count1089,random,1,20262917,20,108,2,8;19,4,11,11,UNSAT,False,False,,986.7427613329928,986.9694157079939,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split2,count1089,random,1,20262917,20,108,2,8;19,4,10,10,UNSAT,False,False,,1074.4473346250015,1074.6037381249917,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split2,count1089,random,1,20262917,20,108,2,8;19,4,00,00,SAT,True,True,000102030405060708090A0B0C0D0E0F,1076.1837825000111,1076.2152901249938,2247.9578224160014,105092,1723792
summary,count1089_random1_20_split2,count1089,random,1,20262917,20,108,2,8;19,4,00,00,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,1076.1837825000111,1076.223790582997,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split3,count1089,random,1,20262917,20,108,3,8;19;25,4,001,001,UNSAT,False,False,,541.1135341250047,541.2062262499967,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split3,count1089,random,1,20262917,20,108,3,8;19;25,4,011,011,UNSAT,False,False,,566.5032727499929,566.742379000003,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split3,count1089,random,1,20262917,20,108,3,8;19;25,4,000,000,SAT,True,True,000102030405060708090A0B0C0D0E0F,586.2887060419889,586.3254011249956,2247.9578224160014,105092,1723792
summary,count1089_random1_20_split3,count1089,random,1,20262917,20,108,3,8;19;25,4,000,000,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,586.2887060419889,586.3579054590082,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split4,count1089,random,1,20262917,20,108,4,8;19;25;28,4,0010,0010,UNSAT,False,False,,293.6577281659993,293.81696058399393,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split4,count1089,random,1,20262917,20,108,4,8;19;25;28,4,0000,0000,SAT,True,True,000102030405060708090A0B0C0D0E0F,406.7047365000035,406.73618941698805,2247.9578224160014,105092,1723792
summary,count1089_random1_20_split4,count1089,random,1,20262917,20,108,4,8;19;25;28,4,0000,0000,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,406.7047365000035,406.75790374999633,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5,count1089,random,1,20262917,20,108,5,8;19;25;28;33,4,00001,00001,UNSAT,False,False,,195.66820050000388,195.76087704199017,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5,count1089,random,1,20262917,20,108,5,8;19;25;28;33,4,00010,00010,UNSAT,False,False,,221.13194716699945,221.29607891698834,2247.9578224160014,105092,1723792
branch,count1089_random1_20_split5,count1089,random,1,20262917,20,108,5,8;19;25;28;33,4,00000,00000,SAT,True,True,000102030405060708090A0B0C0D0E0F,227.75648366700625,227.78870333298983,2247.9578224160014,105092,1723792
summary,count1089_random1_20_split5,count1089,random,1,20262917,20,108,5,8;19;25;28;33,4,00000,00000,SAT_FOUND,True,True,000102030405060708090A0B0C0D0E0F,227.75648366700625,227.81345945798967,2247.9578224160014,105092,1723792
