row_type,phase,experiment,kat,position_mode,base_trial,base_seed,divide_trial,divide_seed,unknown_bits,known_bits,split_bits,split_positions,max_workers,branch_id,assignment,branch_order,status,satisfiable,correct,recovered_key,branch_solve_time,experiment_wall_time,baseline_solve_time,variables,clauses
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,11001,11001,1,UNSAT,False,False,,149.83301324999775,149.86756654200144,2247.9578224160014,105092,1723792
checkpoint,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,,,,RUNNING,False,False,,0.0,300.0724917089974,2247.9578224160014,105092,1723792
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,00011,00011,2,UNSAT,False,False,,162.17459566699108,312.1023656250036,2247.9578224160014,105092,1723792
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,01101,01101,3,UNSAT,False,False,,178.5768328330014,490.722900666995,2247.9578224160014,105092,1723792
checkpoint,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,,,,RUNNING,False,False,,0.0,600.8735213750042,2247.9578224160014,105092,1723792
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,00100,00100,4,UNSAT,False,False,,143.22501554101473,633.9932974170079,2247.9578224160014,105092,1723792
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,10111,10111,5,UNSAT,False,False,,165.16173095899285,799.1973773750069,2247.9578224160014,105092,1723792
checkpoint,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,,,,RUNNING,False,False,,0.0,901.3481289590127,2247.9578224160014,105092,1723792
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,01011,01011,6,UNSAT,False,False,,147.78754166699946,947.0312844169966,2247.9578224160014,105092,1723792
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,10000,10000,7,UNSAT,False,False,,166.84629937499994,1113.9244435839937,2247.9578224160014,105092,1723792
checkpoint,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,,,,RUNNING,False,False,,0.0,1202.0561052919948,2247.9578224160014,105092,1723792
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,10010,10010,8,UNSAT,False,False,,105.04647633302375,1219.0194336249842,2247.9578224160014,105092,1723792
branch,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,00110,00110,9,UNSAT,False,False,,159.84188604101655,1378.904174708994,2247.9578224160014,105092,1723792
checkpoint,worker_scaling,count1089_random1_20_split5_divide1_workers1,count1089,random,1,20262917,1,20261019,20,108,5,19;54;103;109;115,1,,,,RUNNING,False,False,,0.0,1502.0687166249845,2247.9578224160014,105092,1723792
