byte_a,byte_b,cases,sat,timeouts,errors,correct,candidate_valid,mean,median,min,max,stdev
0,1,5,5,0,0,5,5,52.97127873320096,53.6720326249997,14.583525957998063,91.5210684169997,29.36461397642238
0,2,5,5,0,0,5,5,43.08776064179874,24.527669875000356,16.208175999992818,86.74530437499925,30.750005868562464
0,3,5,5,0,0,5,5,50.092077416800386,50.26501179200204,28.500483291998535,77.43939208299707,18.068163257105937
0,4,5,5,0,0,5,5,60.66366417519821,64.47587487499914,30.551141500000085,88.74465495899494,22.99190668407452
0,5,5,5,0,0,5,5,54.756339716600266,41.39692804199876,7.051150666999092,109.94165016600164,39.73929896223628
0,6,5,5,0,0,5,5,51.45000551660014,54.05210725000143,23.02286204200027,97.49988291600312,29.98012138362393
0,7,5,5,0,0,5,5,56.288915258198905,39.175656291998166,35.59194504199695,108.95693879100145,31.00724257652328
0,8,5,5,0,0,5,5,65.2671884166015,51.274815040997055,24.822375667004962,103.39489125000182,33.65012372878949
0,9,5,5,0,0,5,5,81.96272906679951,84.03017929199996,47.31665712500035,106.60261137499765,22.65340562925496
0,10,5,5,0,0,5,5,53.71175044179908,57.43206608399851,12.16788962499777,89.38735791699946,35.94585525452569
0,11,5,5,0,0,5,5,56.66598410000006,53.286344165997434,47.736713584003155,71.8522122079994,9.346192675851903
0,12,5,5,0,0,5,5,74.25354688320003,66.4601915409985,57.604217250001966,91.12010941599874,15.484752697447094
0,13,5,5,0,0,5,5,47.68810388340025,37.66445841699897,18.361013916999582,102.94315845799792,32.30289824339756
0,14,5,5,0,0,5,5,41.19310413320127,42.488468292001926,19.510935708000034,62.01129833300001,15.415686690014164
0,15,5,5,0,0,5,5,72.57479720859956,74.21137358399574,53.35269587500079,89.78349058399908,13.125258541981054
1,2,5,5,0,0,5,5,69.30202690000006,66.43416679200163,42.826603624998825,97.9288586670009,20.49960427467096
1,3,5,5,0,0,5,5,68.06250482500073,65.24573149999924,42.305388999999195,94.52620500000194,19.411450329577406
1,4,5,5,0,0,5,5,37.04653639179742,39.89809387499554,10.41477483399649,65.86092562499834,20.633721165747055
1,5,5,5,0,0,5,5,53.17889307519945,47.861891874999856,39.135818791997735,69.46484320799937,14.446226906436623
1,6,5,5,0,0,5,5,54.92364137520017,35.34255541699895,26.757997417000297,90.9489777079998,31.107703114414083
1,7,5,5,0,0,5,5,64.34387686640075,60.51936266600387,29.866195041002356,104.75360066699977,27.719754989384924
1,8,5,5,0,0,5,5,70.72612091639894,75.72161604099529,18.851810915999522,115.70786645799672,45.550794315315
1,9,5,5,0,0,5,5,62.57392266660027,62.500191584003915,22.574638124999183,101.52600441600225,28.055751888904133
1,10,5,5,0,0,5,5,40.02660254160073,48.35684712500006,19.96245437500329,57.85029383299843,18.2999827536309
1,11,5,5,0,0,5,5,37.24640800820016,36.37432141700265,17.85769916600111,53.7384382500004,13.288165646058008
1,12,5,5,0,0,5,5,42.03767348299989,47.64919541600102,20.437681166000402,50.755659041999024,12.601685323742428
1,13,5,5,0,0,5,5,44.861164366798036,35.00013725000099,9.433208958995237,84.7308417499953,30.515232217980927
1,14,5,5,0,0,5,5,51.311310724801295,37.512299207999604,8.90064554100536,99.61215491700204,35.98335603832266
1,15,5,5,0,0,5,5,66.73321829959896,57.32182541600196,31.42273408300025,109.59693745799814,32.119362606523666
2,3,5,5,0,0,5,5,66.90680930019917,62.38756079199811,59.295938125003886,87.112431249996,11.400348439918451
2,4,5,5,0,0,5,5,74.29662685839939,86.27820787499877,30.702343874996586,108.04657483300252,32.36883597893866
2,5,5,5,0,0,5,5,67.36174865839894,74.20105549999789,28.482253250000213,91.90540983399842,23.783554147772453
2,6,5,4,1,0,4,4,80.75865136450011,86.67320545800067,58.08115558300051,91.6070389589986,15.315939649093602
2,7,5,5,0,0,5,5,74.7479025081997,70.62513020799815,32.21432074999939,108.75515170799918,30.918597327822173
2,8,5,5,0,0,5,5,76.28049958359952,74.21457491699948,19.042547542001557,110.12775462499849,37.10775107792744
2,9,5,5,0,0,5,5,60.53828117519879,46.47049004199653,33.209641000001284,106.7198018750023,29.266328496868773
2,10,5,5,0,0,5,5,62.33477919979778,40.753811374997895,24.177424749999773,109.42142312499345,40.994279757128005
2,11,5,5,0,0,5,5,64.10352510040175,68.13811445900501,8.133938709001086,111.04303295900172,37.45813536504105
2,12,5,5,0,0,5,5,45.89097891659985,30.66873941599988,13.40873470799852,100.88501029200052,35.62713560361066
2,13,5,5,0,0,5,5,48.562656516199425,46.324016999999,13.709353541000382,91.3594007080028,31.887201609131434
2,14,5,5,0,0,5,5,56.75545791639888,59.491583957998955,24.921141708000505,99.36626920799608,31.01445190299442
2,15,5,5,0,0,5,5,50.30045128340098,39.853691250005795,19.289990332999878,105.54891412500001,32.77656669409418
3,4,5,5,0,0,5,5,67.26379845880038,75.1221902920006,19.679386709000028,107.51590312500048,33.1845240788504
