byte_index,cases,sat,timeouts,errors,correct,candidate_valid,mean,median,min,max,stdev
0,50,50,0,0,50,50,5.797930309139956,5.802382207999472,3.903317457999947,8.05983229100093,0.8871296475660577
1,50,50,0,0,50,50,5.7410461774199755,5.728376582999772,3.6073982500001875,8.725222708000729,0.8249555023134443
2,50,50,0,0,50,50,5.67475898419998,5.515779208999447,3.817884124999182,10.749795083998833,1.0401069905004796
3,50,50,0,0,50,50,5.85402086915994,5.97065360400029,3.843809624999267,7.399244917000033,0.6828308243669919
4,50,50,0,0,50,50,5.89895286501971,5.798497749999115,4.083336874999077,12.198137499999575,1.1637905256238203
5,50,50,0,0,50,50,5.769974758340031,5.741682208499697,3.720952749999924,11.00463529100125,1.037784860982001
6,50,50,0,0,50,50,5.7125279716798465,5.76388377100011,3.9342519999991055,7.931373749999693,0.8183701699858057
7,50,50,0,0,50,50,5.709244369839999,5.692342374501095,3.8682738750012504,8.211627167000188,0.740295296805086
8,50,50,0,0,50,50,5.776900581739992,5.8553756670007715,3.7943834170000628,7.48372045799988,0.8182810006419533
9,50,50,0,0,50,50,5.774045555820049,5.6896554994991675,4.021859000000404,7.3171195830000215,0.7989946909931784
10,50,50,0,0,50,50,5.66768459996003,5.59834575000059,3.957994582999163,7.133525709001333,0.6538667144173258
11,50,50,0,0,50,50,5.43956500086013,5.585786750000352,3.3606332499985,6.877278375000969,0.8971075170458377
12,50,50,0,0,50,50,5.885320245880139,5.725196125000366,3.722382457999629,8.76911891599957,0.8068585765958902
13,50,50,0,0,50,50,6.019417260079917,6.051905062499827,4.423470791998625,7.74737579199973,0.7058049381704358
14,50,50,0,0,50,50,5.605727235079976,5.51500041700001,4.011942790999456,7.232982042000003,0.6486465927216971
15,50,50,0,0,50,50,5.566597779140138,5.553239562499584,3.5264150830007566,7.205197875000522,0.7111679082525341
