unknown_bits,baseline_solve_time_s,divide_avg_wall_time_s,divide_min_wall_time_s,divide_max_wall_time_s,avg_speedup,divide_trials
8,49.38862675000564,164.50450806966788,83.44844758298132,279.843357167003,0.3002265854567918,3
10,30.555273958001635,138.33931495834258,48.156730667018564,240.03870150001603,0.2208719478421777,3
12,38.51384825000423,155.3946350973371,123.32999604198267,190.86067645900766,0.24784541773839022,3
14,102.18841354199685,179.0570732363267,75.71619129201281,302.55512537498726,0.5707030261079075,3
16,274.8117494999897,263.9566459590084,174.33353433400043,355.39141470901086,1.0411245699139056,3
18,532.9334115839883,270.02271298634395,127.55323320900789,511.7092255000025,1.9736614216261903,3
20,2441.074447792009,1100.668903374996,706.9931430839933,1765.4770915830159,2.217809952027271,3
21,9604.047899500001,2018.8123976253362,1602.0908039170026,2254.961562917015,4.757276065273293,3
22,,2928.858636791323,1126.2077567499946,4302.444712707977,,3
24,,13103.032506735995,7087.734490000003,20025.42623254101,,3
