case,kat,position_mode,unknown_bits,solve_time_s,uniqueness_time_s,total_time_s,correct,unique
count1_last_16,count1,last,16,189.58804829099972,494.24105624999356,684.8244914579991,True,True
count1_first_16,count1,first,16,227.7179457079983,378.32350195899926,607.0920321660014,True,True
count1_random_16_trial1,count1,random,16,309.9676886669986,422.7459836249982,733.6477085000006,True,True
count1_random_16_trial2,count1,random,16,45.60520079200069,331.4319681670022,378.05361591700057,True,True
count1_random_16_trial3,count1,random,16,209.764070833,299.55196325,510.26424720800424,True,True
count545_last_16,count545,last,16,226.91093037500104,260.67823308399966,488.98681316599686,True,True
count545_first_16,count545,first,16,189.7078022909991,147.51436887499585,338.6229738330003,True,True
count545_random_16_trial1,count545,random,16,257.6259593750001,242.50575762499648,501.5323968750017,True,True
count545_random_16_trial2,count545,random,16,133.4252119580051,246.9610676670054,381.81929633300024,True,True
count545_random_16_trial3,count545,random,16,157.22138687499682,177.8190928749973,336.4936011250029,True,True
count1089_last_16,count1089,last,16,275.65425670799596,206.9265868750008,485.08756116699806,True,True
count1089_first_16,count1089,first,16,273.35580779099837,204.6986822079998,480.7278169170022,True,True
count1089_random_16_trial1,count1089,random,16,229.5586524160026,171.40968579200126,403.4282293750002,True,True
count1089_random_16_trial2,count1089,random,16,275.00320516700594,258.51588804099447,536.2053090840054,True,True
count1089_random_16_trial3,count1089,random,16,232.43705024999508,205.32562066699757,440.4084412500015,True,True
