Bity,Wzorzec,Czas_s,Status
4,first,0.0421,OK
4,last,0.0734,OK
4,every_2nd,0.0558,OK
4,every_4th,0.1028,OK
4,random,0.0872,OK
8,first,1.1300,OK
8,last,0.6187,OK
8,every_2nd,0.3431,OK
8,every_4th,1.3903,OK
8,random,0.8903,OK
12,first,4.2347,OK
12,last,13.1649,OK
12,every_2nd,7.6598,OK
12,every_4th,9.4011,OK
4,first,0.0396,OK
4,last,0.0814,OK
4,every_2nd,0.0628,OK
4,every_4th,0.1024,OK
4,random,0.0900,OK
8,first,1.4052,OK
8,last,0.7791,OK
8,every_2nd,0.4165,OK
8,every_4th,1.6074,OK
4,first,0.0420,OK
4,last,0.0747,OK
4,every_2nd,0.0609,OK
4,every_4th,0.1138,OK
4,random,0.0890,OK
8,first,1.2503,OK
8,last,0.7279,OK
8,every_2nd,0.3853,OK
8,every_4th,1.3807,OK
8,random,0.8999,OK
12,first,3.9693,OK
12,last,13.3706,OK
12,every_2nd,6.4669,OK
12,every_4th,7.0805,OK
12,random,10.3576,OK
16,first,313.1370,OK
16,last,261.7006,OK
16,every_2nd,126.9889,OK
16,every_4th,297.4013,OK
16,random,199.6590,OK
17,first,17.1017,OK
17,last,350.0067,OK
17,every_2nd,515.0033,OK
17,every_4th,443.9608,OK
17,random,408.7289,OK
18,first,890.7433,OK
18,last,462.1208,OK
18,every_2nd,255.5606,OK
18,every_4th,1340.3711,OK
18,random,435.7241,OK
19,first,719.1850,OK
19,last,1936.8796,OK
19,every_2nd,1788.9958,OK
19,every_4th,533.1303,OK
19,random,1630.6518,OK
20,first,1107.0879,OK
20,last,3394.8997,OK
20,every_2nd,847.0576,OK
20,every_4th,621.7449,OK
20,random,3973.2051,OK
21,first,4746.7252,OK
21,last,2525.8010,OK
21,every_2nd,9758.3013,OK
21,every_4th,7387.9795,OK
4,first,0.0382,OK
4,last,0.0588,OK
4,every_2nd,0.0524,OK
4,every_4th,0.0808,OK
4,random,0.0720,OK
8,first,0.9041,OK
8,last,0.4783,OK
8,every_2nd,0.2666,OK
8,every_4th,1.0733,OK
8,random,0.6855,OK
12,first,3.3189,OK
12,last,9.8965,OK
12,every_2nd,5.1548,OK
12,every_4th,5.3657,OK
12,random,8.0131,OK
16,first,235.3533,OK
16,last,205.6806,OK
16,every_2nd,100.6485,OK
16,every_4th,229.9581,OK
16,random,162.1953,OK
17,first,14.7459,OK
17,last,299.0033,OK
17,every_2nd,442.3805,OK
17,every_4th,391.3662,OK
17,random,340.5396,OK
18,first,760.6846,OK
18,last,426.1004,OK
18,every_2nd,232.0310,OK
18,every_4th,1141.6708,OK
18,random,336.4709,OK
19,first,680.2309,OK
19,last,1915.4750,OK
19,every_2nd,1795.4549,OK
19,every_4th,531.2455,OK
19,random,1616.9478,OK
20,first,1129.7653,OK
20,last,3479.7083,OK
20,every_2nd,857.8600,OK
20,every_4th,626.6305,OK
4,first,0.0688,OK
4,last,0.0889,OK
4,every_2nd,0.0677,OK
4,every_4th,0.1316,OK
4,random,0.1060,OK
8,first,1.2244,OK
8,last,0.6947,OK
8,every_2nd,0.3424,OK
8,every_4th,1.2766,OK
8,random,0.8533,OK
12,first,3.8671,OK
12,last,13.1038,OK
12,every_2nd,6.9047,OK
12,every_4th,7.5209,OK
12,random,10.6477,OK
16,first,295.5088,OK
16,last,258.7121,OK
16,every_2nd,124.8906,OK
16,every_4th,265.8358,OK
16,random,202.4325,OK
17,first,18.4178,OK
17,last,382.6175,OK
17,every_2nd,618.7855,OK
17,every_4th,597.7749,OK
17,random,518.8120,OK
18,first,1155.0748,OK
18,last,645.0230,OK
18,every_2nd,352.9398,OK
18,every_4th,1692.8912,OK
18,random,509.9563,OK
19,first,1027.9712,OK
19,last,2866.3453,OK
19,every_2nd,2664.7884,OK
19,every_4th,791.5891,OK
19,random,2376.7187,OK
20,first,1628.0494,OK
20,last,4846.2059,OK
20,every_2nd,1173.5142,OK
20,every_4th,733.5052,OK
4,first,0.0426,OK
4,last,0.0640,OK
4,every_2nd,0.0576,OK
4,first,0.0374,OK
4,last,0.0728,OK
4,every_2nd,0.0620,OK
4,every_4th,0.0920,OK
4,random,0.0873,OK
8,first,1.1106,OK
8,last,0.5646,OK
8,every_2nd,0.3565,OK
8,every_4th,1.2547,OK
8,random,0.7926,OK
12,first,3.9246,OK
12,last,11.9014,OK
12,every_2nd,6.2408,OK
12,every_4th,6.4966,OK
12,random,9.6056,OK
16,first,285.1318,OK
16,last,255.9401,OK
16,every_2nd,125.9148,OK
16,every_4th,293.7659,OK
16,random,213.0548,OK
17,first,18.7988,OK
17,last,386.5944,OK
4,first,0.0419,OK
