Bity,Wzorzec,Czas_s,Status,Solver
4,first,0.0206,OK,Kissat404
4,last,0.0115,OK,Kissat404
4,every_2nd,0.5281,OK,Kissat404
4,every_4th,0.4984,OK,Kissat404
4,random,0.3231,OK,Kissat404
8,first,1.5001,OK,Kissat404
8,last,0.0113,OK,Kissat404
8,every_2nd,0.8803,OK,Kissat404
8,every_4th,0.8043,OK,Kissat404
8,random,1.1346,OK,Kissat404
12,first,11.8881,OK,Kissat404
12,last,0.0145,OK,Kissat404
12,every_2nd,10.7354,OK,Kissat404
12,every_4th,10.3610,OK,Kissat404
12,random,17.5686,OK,Kissat404
16,first,104.8462,OK,Kissat404
16,last,175.7246,OK,Kissat404
16,every_2nd,167.2473,OK,Kissat404
16,every_4th,65.0187,OK,Kissat404
16,random,47.0157,OK,Kissat404
17,first,97.3940,OK,Kissat404
17,last,13.5220,OK,Kissat404
17,every_2nd,89.9604,OK,Kissat404
17,every_4th,17.7556,OK,Kissat404
17,random,150.4829,OK,Kissat404
18,first,115.0300,OK,Kissat404
18,last,16.0964,OK,Kissat404
18,every_2nd,85.0241,OK,Kissat404
18,every_4th,4.7344,OK,Kissat404
18,random,174.4450,OK,Kissat404
19,first,180.2534,OK,Kissat404
19,last,114.7831,OK,Kissat404
19,every_2nd,113.9367,OK,Kissat404
19,every_4th,136.2265,OK,Kissat404
19,random,76.4065,OK,Kissat404
20,first,1999.6876,OK,Kissat404
20,last,16.8941,OK,Kissat404
20,every_2nd,23.9006,OK,Kissat404
20,every_4th,346.6442,OK,Kissat404
20,random,283.9742,OK,Kissat404
21,first,985.6540,OK,Kissat404
21,last,137.7015,OK,Kissat404
21,every_2nd,88.6378,OK,Kissat404
21,every_4th,298.8285,OK,Kissat404
4,first,0.0145,OK,Kissat404
4,last,0.0159,OK,Kissat404
4,every_2nd,0.3680,OK,Kissat404
4,every_4th,0.4201,OK,Kissat404
4,random,0.2396,OK,Kissat404
8,first,1.2453,OK,Kissat404
8,last,0.0125,OK,Kissat404
8,every_2nd,0.8753,OK,Kissat404
8,every_4th,0.6160,OK,Kissat404
8,random,0.7751,OK,Kissat404
12,first,10.1554,OK,Kissat404
12,last,0.0082,OK,Kissat404
12,every_2nd,9.0250,OK,Kissat404
12,every_4th,10.0421,OK,Kissat404
12,random,19.1195,OK,Kissat404
16,first,187.2048,OK,Kissat404
16,last,527.5070,OK,Kissat404
16,every_2nd,619.8806,OK,Kissat404
16,every_4th,286.8379,OK,Kissat404
16,random,159.1859,OK,Kissat404
17,first,160.6971,OK,Kissat404
17,last,34.3244,OK,Kissat404
